Date,Open,High,Low,Close,Change,%Chg,Volume
06/11/2024,2310.81,2319.39,2298.9,2316.56,5.78,+0.25%,5336
06/10/2024,2291.85,2313.1,2289.43,2310.78,17.07,+0.74%,5150
06/07/2024,2375.62,2386.9,2287.64,2293.71,-81.89,-3.45%,4879
06/06/2024,2355.04,2377.2,2355.01,2375.6,20.58,+0.87%,5244
06/05/2024,2326.98,2356.22,2326.73,2355.02,28.07,+1.21%,5311
06/04/2024,2350.72,2352.32,2318.36,2326.95,-23.79,-1.01%,5257
06/03/2024,2326.25,2351.75,2315.47,2350.74,22.92,+0.98%,5046
05/31/2024,2343.05,2357.11,2321.6,2327.82,-15.18,-0.65%,5179
05/30/2024,2338.34,2349.8,2324.23,2343,4.71,+0.20%,5186
05/29/2024,2361.08,2361.54,2336.8,2338.29,-22.73,-0.96%,5284
05/28/2024,2351.66,2361.81,2341.1,2361.02,9.36,+0.40%,5283
05/27/2024,2333.65,2357.38,2333.65,2351.66,17.43,+0.75%,4873
05/24/2024,2328.51,2344.83,2327.07,2334.23,5.73,+0.25%,5211
05/23/2024,2378.4,2383.24,2327.98,2328.5,-49.88,-2.10%,4927
05/22/2024,2420.95,2425.51,2376.65,2378.38,-42.53,-1.76%,5088
05/21/2024,2425.51,2432.26,2410.32,2420.91,-4.54,-0.19%,5019
05/20/2024,2414.4,2449.34,2413.05,2425.45,10.84,+0.45%,4709
05/17/2024,2376.72,2418.48,2375.25,2414.61,37.9,+1.59%,5316
05/16/2024,2386.52,2396,2372.42,2376.71,-9.89,-0.41%,5252
05/15/2024,2358.02,2389.51,2355.44,2386.6,28.63,+1.21%,5272
05/14/2024,2336.42,2358.89,2335.59,2357.97,21.51,+0.92%,5376
05/13/2024,2361.25,2364.04,2333.98,2336.46,-24.08,-1.02%,5253
05/10/2024,2345.84,2377.13,2345.58,2360.54,14.78,+0.63%,5163
05/09/2024,2308.93,2346.43,2307.65,2345.76,36.82,+1.59%,5370
05/08/2024,2314.03,2320.4,2305.03,2308.94,-5.06,-0.22%,5381
05/07/2024,2324.12,2328.91,2311.37,2314,-10.18,-0.44%,5327
05/06/2024,2302.25,2329.38,2292.55,2324.18,21.5,+0.93%,5019
05/03/2024,2303.49,2310.85,2285.07,2302.68,-0.78,-0.03%,5250
05/02/2024,2318.2,2325.85,2288.23,2303.46,-14.73,-0.64%,5076
05/01/2024,2286.08,2325.8,2281.97,2318.19,32.12,+1.41%,5093
04/30/2024,2335.91,2336.08,2286.04,2286.07,-49.97,-2.14%,4720
04/29/2024,2338.35,2345.76,2324.65,2336.04,-1.55,-0.07%,4627
04/26/2024,2331.95,2351.33,2327.82,2337.59,5.68,+0.24%,5265
04/25/2024,2315.79,2340.87,2309.27,2331.91,16.19,+0.70%,5198
04/24/2024,2322.06,2333.81,2313.39,2315.72,-6.31,-0.27%,5171
04/23/2024,2326.67,2333.87,2294.98,2322.03,-4.6,-0.20%,4900
04/22/2024,2392.6,2392.74,2326.12,2326.63,-64.45,-2.70%,4879
04/19/2024,2378.25,2412.52,2374.39,2391.08,12.95,+0.54%,4784
04/18/2024,2362.7,2389.92,2361.09,2378.13,15.17,+0.64%,5129
04/17/2024,2382.28,2394.13,2362.96,2362.96,-19.16,-0.80%,5067
04/16/2024,2382.58,2396.83,2366.39,2382.12,-0.38,-0.02%,4777
04/15/2024,2342.95,2386.33,2331.26,2382.5,38.19,+1.63%,4520
04/12/2024,2374.15,2427,2336.79,2344.31,-29.97,-1.26%,4647
04/11/2024,2332.72,2377.27,2327.7,2374.28,41.6,+1.78%,5061
04/10/2024,2352.83,2359.49,2325.14,2332.68,-20.19,-0.86%,4506
04/09/2024,2339.02,2364.07,2337.5,2352.87,13.87,+0.59%,5024
04/08/2024,2330.05,2347.41,2305.22,2339,9.79,+0.42%,4599
04/05/2024,2290.46,2329.21,2270.21,2329.21,38.72,+1.69%,4995
04/04/2024,2299.81,2303.32,2284.45,2290.49,-9.36,-0.41%,5149
04/03/2024,2280.39,2300.14,2268.72,2299.85,19.53,+0.86%,5065
04/02/2024,2250.56,2280.33,2248.01,2280.32,29.84,+1.33%,5073
04/01/2024,2233.03,2265.06,2231.1,2250.48,17.73,+0.79%,4956
03/29/2024,2231.27,2232.75,2231.27,2232.75,1.74,+0.08%,847
03/28/2024,2194.8,2231.01,2188.17,2231.01,36.19,+1.65%,5178
03/27/2024,2178.08,2196.93,2174.69,2194.82,16.81,+0.77%,5428
